EmployeeID,Name,Department,ExperienceYears,Salary,City,Performance
1001,Employee_1,Sales,2,77000,Delhi,Good
1002,Employee_2,HR,3,46000,Mumbai,Average
1003,Employee_3,Finance,4,58000,Hyderabad,Excellent
1004,Employee_4,Support,5,108000,Pune,Good
1005,Employee_5,Engineering,6,86000,Bengaluru,Average
1006,Employee_6,Sales,7,92000,Delhi,Excellent
1007,Employee_7,HR,8,93000,Mumbai,Good
1008,Employee_8,Finance,9,106000,Hyderabad,Average
1009,Employee_9,Support,10,148000,Pune,Excellent
1010,Employee_10,Engineering,11,114000,Bengaluru,Good
1011,Employee_11,Sales,12,160000,Delhi,Average
1012,Employee_12,HR,13,167000,Mumbai,Excellent
1013,Employee_13,Finance,14,195000,Hyderabad,Good
1014,Employee_14,Support,15,175000,Pune,Average
1015,Employee_15,Engineering,1,33000,Bengaluru,Excellent
1016,Employee_16,Sales,2,74000,Delhi,Good
1017,Employee_17,HR,3,66000,Mumbai,Average
1018,Employee_18,Finance,4,59000,Hyderabad,Excellent
1019,Employee_19,Support,5,61000,Pune,Good
1020,Employee_20,Engineering,6,74000,Bengaluru,Average
1021,Employee_21,Sales,7,90000,Delhi,Excellent
1022,Employee_22,HR,8,94000,Mumbai,Good
1023,Employee_23,Finance,9,130000,Hyderabad,Average
1024,Employee_24,Support,10,139000,Pune,Excellent
1025,Employee_25,Engineering,11,109000,Bengaluru,Good
1026,Employee_26,Sales,12,152000,Delhi,Average
1027,Employee_27,HR,13,132000,Mumbai,Excellent
1028,Employee_28,Finance,14,183000,Hyderabad,Good
1029,Employee_29,Support,15,182000,Pune,Average
1030,Employee_30,Engineering,1,73000,Bengaluru,Excellent
1031,Employee_31,Sales,2,71000,Delhi,Good
1032,Employee_32,HR,3,66000,Mumbai,Average
1033,Employee_33,Finance,4,71000,Hyderabad,Excellent
1034,Employee_34,Support,5,89000,Pune,Good
1035,Employee_35,Engineering,6,106000,Bengaluru,Average
1036,Employee_36,Sales,7,94000,Delhi,Excellent
1037,Employee_37,HR,8,132000,Mumbai,Good
1038,Employee_38,Finance,9,153000,Hyderabad,Average
1039,Employee_39,Support,10,100000,Pune,Excellent
1040,Employee_40,Engineering,11,157000,Bengaluru,Good
1041,Employee_41,Sales,12,168000,Delhi,Average
1042,Employee_42,HR,13,129000,Mumbai,Excellent
1043,Employee_43,Finance,14,182000,Hyderabad,Good
1044,Employee_44,Support,15,167000,Pune,Average
1045,Employee_45,Engineering,1,50000,Bengaluru,Excellent
1046,Employee_46,Sales,2,54000,Delhi,Good
1047,Employee_47,HR,3,49000,Mumbai,Average
1048,Employee_48,Finance,4,71000,Hyderabad,Excellent
1049,Employee_49,Support,5,110000,Pune,Good
1050,Employee_50,Engineering,6,90000,Bengaluru,Average
1051,Employee_51,Sales,7,82000,Delhi,Excellent
1052,Employee_52,HR,8,85000,Mumbai,Good
1053,Employee_53,Finance,9,121000,Hyderabad,Average
1054,Employee_54,Support,10,106000,Pune,Excellent
1055,Employee_55,Engineering,11,131000,Bengaluru,Good
1056,Employee_56,Sales,12,171000,Delhi,Average
1057,Employee_57,HR,13,141000,Mumbai,Excellent
1058,Employee_58,Finance,14,176000,Hyderabad,Good
1059,Employee_59,Support,15,157000,Pune,Average
1060,Employee_60,Engineering,1,80000,Bengaluru,Excellent
1061,Employee_61,Sales,2,38000,Delhi,Good
1062,Employee_62,HR,3,86000,Mumbai,Average
1063,Employee_63,Finance,4,87000,Hyderabad,Excellent
1064,Employee_64,Support,5,95000,Pune,Good
1065,Employee_65,Engineering,6,76000,Bengaluru,Average
1066,Employee_66,Sales,7,100000,Delhi,Excellent
1067,Employee_67,HR,8,84000,Mumbai,Good
1068,Employee_68,Finance,9,133000,Hyderabad,Average
1069,Employee_69,Support,10,119000,Pune,Excellent
1070,Employee_70,Engineering,11,162000,Bengaluru,Good
1071,Employee_71,Sales,12,157000,Delhi,Average
1072,Employee_72,HR,13,159000,Mumbai,Excellent
1073,Employee_73,Finance,14,195000,Hyderabad,Good
1074,Employee_74,Support,15,196000,Pune,Average
1075,Employee_75,Engineering,1,51000,Bengaluru,Excellent
1076,Employee_76,Sales,2,73000,Delhi,Good
1077,Employee_77,HR,3,51000,Mumbai,Average
1078,Employee_78,Finance,4,103000,Hyderabad,Excellent
1079,Employee_79,Support,5,64000,Pune,Good
1080,Employee_80,Engineering,6,71000,Bengaluru,Average
1081,Employee_81,Sales,7,119000,Delhi,Excellent
1082,Employee_82,HR,8,93000,Mumbai,Good
1083,Employee_83,Finance,9,147000,Hyderabad,Average
1084,Employee_84,Support,10,118000,Pune,Excellent
1085,Employee_85,Engineering,11,113000,Bengaluru,Good
1086,Employee_86,Sales,12,172000,Delhi,Average
1087,Employee_87,HR,13,134000,Mumbai,Excellent
1088,Employee_88,Finance,14,193000,Hyderabad,Good
1089,Employee_89,Support,15,146000,Pune,Average
1090,Employee_90,Engineering,1,52000,Bengaluru,Excellent
1091,Employee_91,Sales,2,54000,Delhi,Good
1092,Employee_92,HR,3,68000,Mumbai,Average
1093,Employee_93,Finance,4,98000,Hyderabad,Excellent
1094,Employee_94,Support,5,114000,Pune,Good
1095,Employee_95,Engineering,6,91000,Bengaluru,Average
1096,Employee_96,Sales,7,86000,Delhi,Excellent
1097,Employee_97,HR,8,103000,Mumbai,Good
1098,Employee_98,Finance,9,120000,Hyderabad,Average
1099,Employee_99,Support,10,113000,Pune,Excellent
1100,Employee_100,Engineering,11,151000,Bengaluru,Good
1101,Employee_101,Sales,12,133000,Delhi,Average
1102,Employee_102,HR,13,164000,Mumbai,Excellent
1103,Employee_103,Finance,14,181000,Hyderabad,Good
1104,Employee_104,Support,15,182000,Pune,Average
1105,Employee_105,Engineering,1,32000,Bengaluru,Excellent
1106,Employee_106,Sales,2,75000,Delhi,Good
1107,Employee_107,HR,3,80000,Mumbai,Average
1108,Employee_108,Finance,4,68000,Hyderabad,Excellent
1109,Employee_109,Support,5,95000,Pune,Good
1110,Employee_110,Engineering,6,115000,Bengaluru,Average
1111,Employee_111,Sales,7,92000,Delhi,Excellent
1112,Employee_112,HR,8,89000,Mumbai,Good
1113,Employee_113,Finance,9,127000,Hyderabad,Average
1114,Employee_114,Support,10,124000,Pune,Excellent
1115,Employee_115,Engineering,11,125000,Bengaluru,Good
1116,Employee_116,Sales,12,157000,Delhi,Average
1117,Employee_117,HR,13,164000,Mumbai,Excellent
1118,Employee_118,Finance,14,173000,Hyderabad,Good
1119,Employee_119,Support,15,154000,Pune,Average
1120,Employee_120,Engineering,1,72000,Bengaluru,Excellent
1121,Employee_121,Sales,2,57000,Delhi,Good
1122,Employee_122,HR,3,94000,Mumbai,Average
1123,Employee_123,Finance,4,107000,Hyderabad,Excellent
1124,Employee_124,Support,5,110000,Pune,Good
