product_id,product_name,category,brand,price_inr,discount_percent,final_price_inr,rating,review_count,stock_quantity,availability
P1001,Wireless Earbuds,Electronics,UrbanEdge,2023,0,2023.0,3.6,1838,189,In Stock
P1002,Smart Watch,Electronics,TechPro,1878,5,1784.1,3.8,254,151,In Stock
P1003,Bluetooth Speaker,Electronics,PrimeChoice,3781,15,3213.85,4.2,4607,129,In Stock
P1004,Power Bank,Electronics,Nova,9127,30,6388.9,3.9,2288,56,In Stock
P1005,Keyboard,Electronics,FitMax,2814,30,1969.8,3.6,1773,87,In Stock
P1006,Gaming Mouse,Electronics,ProGear,1873,5,1779.35,3.2,2827,97,In Stock
P1007,Air Fryer,Home & Kitchen,HomeCraft,4532,0,4532.0,3.9,1032,186,In Stock
P1008,Mixer Grinder,Home & Kitchen,ProGear,1490,20,1192.0,4.3,2972,212,In Stock
P1009,Electric Kettle,Home & Kitchen,TechPro,3349,5,3181.55,4.3,2380,11,In Stock
P1010,Non-stick Pan,Home & Kitchen,UrbanEdge,4013,5,3812.35,3.6,2998,97,In Stock
P1011,Water Bottle,Home & Kitchen,ProGear,6264,25,4698.0,4.3,594,53,In Stock
P1012,Toaster,Home & Kitchen,DailyFresh,3002,15,2551.7,3.9,2221,41,In Stock
P1013,Running Shoes,Fashion,PrimeChoice,3797,25,2847.75,4.5,468,215,In Stock
P1014,Casual Shirt,Fashion,ProGear,724,25,543.0,3.5,1738,102,In Stock
P1015,Jeans,Fashion,UrbanEdge,5354,15,4550.9,4.0,3768,167,In Stock
P1016,Backpack,Fashion,EcoLife,4538,10,4084.2,4.5,4425,63,In Stock
P1017,Sunglasses,Fashion,PrimeChoice,9776,30,6843.2,4.2,2975,229,In Stock
P1018,Jacket,Fashion,UrbanEdge,2465,40,1479.0,4.5,908,23,In Stock
P1019,Face Wash,Beauty,ProGear,2820,30,1974.0,3.1,3136,152,In Stock
P1020,Moisturizer,Beauty,TechPro,7867,20,6293.6,4.1,104,248,In Stock
P1021,Shampoo,Beauty,EcoLife,8996,20,7196.8,4.3,923,196,In Stock
P1022,Perfume,Beauty,DailyFresh,7322,10,6589.8,3.0,2167,116,In Stock
P1023,Sunscreen,Beauty,ProGear,3126,5,2969.7,4.3,4168,222,In Stock
P1024,Hair Dryer,Beauty,DailyFresh,3457,10,3111.3,4.5,4428,95,In Stock
P1025,Yoga Mat,Sports,EcoLife,208,25,156.0,3.0,2983,125,In Stock
P1026,Cricket Bat,Sports,TechPro,4122,0,4122.0,4.8,655,61,In Stock
P1027,Football,Sports,UrbanEdge,8161,5,7752.95,4.5,1040,250,In Stock
P1028,Dumbbells,Sports,HomeCraft,7986,10,7187.4,4.1,4979,67,In Stock
P1029,Badminton Racket,Sports,BrightWorks,3669,15,3118.65,3.6,3069,182,In Stock
P1030,Skipping Rope,Sports,FitMax,8678,40,5206.8,3.5,534,30,In Stock
P1031,Python Programming,Books,Nova,543,15,461.55,3.4,591,150,In Stock
P1032,Data Science Basics,Books,TechPro,3949,5,3751.55,3.1,2716,231,In Stock
P1033,Business Strategy,Books,DailyFresh,8622,15,7328.7,4.3,1765,71,In Stock
P1034,Cybersecurity Guide,Books,PrimeChoice,2366,40,1419.6,4.6,3344,62,In Stock
P1035,SQL Handbook,Books,HomeCraft,1744,5,1656.8,3.9,3479,168,In Stock
P1036,AI Fundamentals,Books,Nova,7850,0,7850.0,4.3,816,172,In Stock
P1037,Green Tea,Grocery,PrimeChoice,6795,25,5096.25,4.7,2046,204,In Stock
P1038,Coffee Beans,Grocery,BrightWorks,3315,40,1989.0,3.8,2291,35,In Stock
P1039,Protein Oats,Grocery,TechPro,4291,5,4076.45,4.6,4518,113,In Stock
P1040,Peanut Butter,Grocery,UrbanEdge,1027,0,1027.0,3.2,1946,248,In Stock
P1041,Mixed Nuts,Grocery,Nova,6857,40,4114.2,3.4,3295,123,In Stock
P1042,Dark Chocolate,Grocery,BrightWorks,2896,30,2027.2,5.0,2182,0,Out of Stock
P1043,Notebook,Office,BrightWorks,4872,30,3410.4,4.9,4562,178,In Stock
P1044,Desk Lamp,Office,ProGear,2735,15,2324.75,3.4,489,75,In Stock
P1045,Office Chair,Office,ProGear,9082,0,9082.0,3.6,420,191,In Stock
P1046,Pen Set,Office,UrbanEdge,8010,10,7209.0,4.9,666,14,In Stock
P1047,Laptop Stand,Office,TechPro,1321,5,1254.95,4.7,3317,172,In Stock
P1048,Desk Organizer,Office,HomeCraft,9532,15,8102.2,4.2,681,148,In Stock
