Company_ID,Company_Name,Industry,Country,Annual_Revenue_USD_M,Performance_Score,Performance_Status,Customer_Rating_5,Growth_Rate_Percent,Market_Share_Percent,Product_Quality_Score,Innovation_Score,Customer_Satisfaction_Percent,Reporting_Year
CMP001,NovaTech Solutions,Finance,Australia,4092,95,Excellent,3.4,13.1,5.6,66,98,96,2026
CMP002,BluePeak Systems,Logistics,Germany,8359,57,Needs Improvement,3.3,2.1,13.9,95,67,96,2026
CMP003,Vertex Analytics,Manufacturing,UK,186,83,Very Good,4.2,14.5,17.3,70,82,83,2026
CMP004,GreenGrid Energy,Technology,Japan,1599,68,Average,4.8,4.6,9.0,82,77,78,2026
CMP005,Apex Retail Group,Finance,India,1371,89,Very Good,3.4,16.9,12.8,99,78,74,2026
CMP006,SilverLine Logistics,Telecommunications,Canada,1387,97,Excellent,3.6,3.6,19.4,66,79,79,2026
CMP007,BrightCore Finance,Education,Germany,4454,65,Average,3.8,1.9,16.0,64,93,72,2026
CMP008,CloudNest Software,Technology,Canada,9205,65,Average,4.0,3.2,5.6,80,58,76,2026
CMP009,Orion Manufacturing,Logistics,Japan,9372,80,Very Good,3.7,1.9,19.8,80,68,93,2026
CMP010,Pioneer Foods,Energy,Germany,9277,64,Average,3.7,2.7,12.5,97,82,87,2026
CMP011,MetroWave Telecom,Logistics,USA,851,63,Average,4.1,-0.6,19.5,69,95,72,2026
CMP012,Quantum Health Labs,Education,Singapore,8749,79,Good,3.8,18.4,6.3,95,55,69,2026
CMP013,UrbanEdge Properties,Education,USA,2671,96,Excellent,3.8,3.7,10.6,76,87,73,2026
CMP014,EverRise Consulting,Technology,Canada,3338,95,Excellent,3.7,10.9,4.1,70,89,95,2026
CMP015,Zenith Motors,Finance,Japan,5118,86,Very Good,3.2,17.0,6.0,75,91,67,2026
CMP016,HarborView Hotels,Manufacturing,Australia,2140,59,Needs Improvement,4.9,8.7,3.6,90,90,72,2026
CMP017,CrestPoint Media,Telecommunications,Japan,3375,68,Average,4.8,13.4,16.3,85,97,85,2026
CMP018,Atlas Industrial Works,Technology,USA,424,62,Average,3.6,-1.2,13.6,74,92,76,2026
CMP019,LumenPay Services,Manufacturing,Japan,594,95,Excellent,3.3,-1.1,19.5,64,87,77,2026
CMP020,SkyBridge Aviation,Retail,USA,9435,68,Average,4.1,12.7,13.3,75,85,88,2026
CMP021,TerraBuild Infrastructure,Technology,Australia,6815,61,Average,4.3,4.9,10.9,63,98,68,2026
CMP022,PulsePoint Healthcare,Healthcare,Singapore,3219,76,Good,4.6,-0.2,4.9,88,63,89,2026
CMP023,OakStone Capital,Education,India,7340,84,Very Good,3.6,16.9,18.3,95,61,65,2026
CMP024,FusionWorks Technologies,Technology,UK,2804,60,Average,4.8,15.3,9.6,90,68,87,2026
CMP025,RiverStone Foods,Healthcare,Germany,7534,79,Good,3.2,5.7,7.0,95,97,93,2026
CMP026,NorthStar Electronics,Travel,Japan,8963,73,Good,3.6,-1.3,2.1,80,58,65,2026
CMP027,ClearPath Insurance,Travel,USA,1011,87,Very Good,4.8,8.7,21.6,65,66,66,2026
CMP028,Summit Mobility,Logistics,Canada,9413,98,Excellent,4.7,6.0,6.1,98,57,67,2026
CMP029,PrimeHarvest Agri,Telecommunications,Canada,3990,71,Good,3.5,12.5,6.6,68,97,81,2026
CMP030,Elevate Learning,Education,Singapore,9304,59,Needs Improvement,3.2,10.5,22.4,64,89,75,2026
CMP031,IronGate Security,Manufacturing,India,4082,63,Average,4.8,16.0,8.8,70,83,96,2026
CMP032,SunVale Pharmaceuticals,Finance,UK,1777,97,Excellent,4.6,3.8,21.2,68,71,69,2026
CMP033,WestBridge Retail,Manufacturing,India,5697,72,Good,3.7,1.9,5.2,76,87,93,2026
CMP034,CoreMatrix Data,Healthcare,Japan,802,60,Average,4.3,14.9,0.9,68,95,78,2026
CMP035,MapleLeaf Consumer,Energy,UK,1912,90,Excellent,4.4,9.3,2.4,69,89,64,2026
CMP036,AeroLink Components,Finance,Canada,733,82,Very Good,3.4,4.0,20.3,73,98,77,2026
CMP037,GreenField Chemicals,Logistics,India,2612,90,Excellent,4.7,6.0,20.9,75,65,73,2026
CMP038,BrightPath Digital,Finance,Australia,6825,66,Average,4.5,4.5,18.2,75,72,72,2026
CMP039,RedOak Furniture,Retail,Australia,7621,57,Needs Improvement,4.7,2.2,8.4,74,69,63,2026
CMP040,Starline Apparel,Energy,India,4653,76,Good,3.7,-1.0,8.4,92,80,96,2026
CMP041,BlueRiver Beverages,Energy,Australia,4429,62,Average,4.7,3.0,1.6,98,82,84,2026
CMP042,NexGen Robotics,Education,Germany,3194,93,Excellent,4.9,-0.1,6.3,87,55,95,2026
CMP043,CedarWorks Engineering,Manufacturing,Australia,5489,78,Good,3.9,17.4,14.3,67,74,94,2026
CMP044,GlobalVista Travel,Travel,Singapore,2165,75,Good,3.9,3.7,5.0,84,98,73,2026
CMP045,PeakMotion Sports,Telecommunications,Japan,4780,80,Very Good,4.1,-2.5,5.4,97,93,82,2026
CMP046,AmberCloud Services,Finance,Germany,2860,83,Very Good,4.3,8.2,15.1,78,87,83,2026
CMP047,SilverOak Investments,Telecommunications,Australia,2494,98,Excellent,3.7,14.4,1.3,75,85,66,2026
CMP048,UrbanPulse Media,Finance,Australia,6371,95,Excellent,4.2,12.6,11.5,75,64,62,2026
CMP049,GoldenArc Construction,Telecommunications,UK,8566,69,Average,3.5,17.6,10.9,95,70,69,2026
CMP050,InsightSphere Research,Logistics,Japan,5278,84,Very Good,4.3,18.2,21.4,88,94,94,2026
